total_cpu_usage,total_memory_usage,number_of_containers,number_of_active_containers,number_of_inactive_containers,timestamp
0.0,0.03,1,1,0,2023-08-20 19:10:55
0.054409696969696976,0.06,2,2,0,2023-08-20 19:10:59
0.014658322903629537,0.06,2,2,0,2023-08-20 19:11:04
0.09501631116687578,0.06,3,2,0,2023-08-20 19:11:08
0.05694019654449527,0.06,4,3,0,2023-08-20 19:11:12
0.11040480648492818,0.12,5,4,1,2023-08-20 19:11:19
0.05447037506505374,0.12,5,4,1,2023-08-20 19:11:27
0.05304707960921244,0.12,6,5,1,2023-08-20 19:11:37
0,0,6,4,2,2023-08-20 19:11:39
0.09543884958917244,0.09,5,3,2,2023-08-20 19:11:45
0.07033620413689583,0.09,5,3,2,2023-08-20 19:11:51
0.16342023348939994,0.09,5,3,2,2023-08-20 19:11:57
0.1331341946454303,0.09,4,3,1,2023-08-20 19:12:04
0.08668234216911597,0.09,4,3,1,2023-08-20 19:12:09
0.07002761934986626,0.09,3,3,0,2023-08-20 19:12:15
0.11746849622927957,0.09,3,3,0,2023-08-20 19:12:20
0.16623035243393114,0.09,3,3,0,2023-08-20 19:12:26
0.12505048460247817,0.09,3,3,0,2023-08-20 19:12:32
0.06543505551062422,0.12,4,4,0,2023-08-20 19:12:40
0.0,0.09,7,7,0,2023-08-20 19:12:46
0.0,0.06,7,6,1,2023-08-20 19:12:50
0.0,0.03,7,5,2,2023-08-20 19:12:53
0,0,7,4,3,2023-08-20 19:12:54
0.36818463067311485,0.09,7,3,4,2023-08-20 19:13:01
0.12896689202335013,0.09,7,3,4,2023-08-20 19:13:06
0.13268000218994086,0.15,7,5,2,2023-08-20 19:13:16
